factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2ee7bd894e2d59cf71276ffe07df77809f7ce39f,0x5ffe8ac3c7bf9218a4a0ee9d577868d42a49827d,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,86390212
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2f2a2f16b3e159c60e44533e1465ee65345a5d0e,0x779f4e5fb773e17bc8e809f4ef1abb140861159a,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,63571499
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2f71746b426a18d715b39bddc0f65ce55e68a0e9,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,76879739
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x35930d6fd34bf32e2e301895df768ac97dcc7874,0x93e855643e940d025be2e529272e4dbd15a2cf74,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,5,93170954
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x35db358ccb1e9ff11d49fc7789949b3421b98931,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,20,82226644
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x365722f12ceb2063286a268b03c654df81b7c00f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,62270011
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x368b148052a1a775dbe70e56d04474e54c694cac,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x779ded0c9e1022225f8e0630b35a9b54be713736,1,90824058
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x37ce36db1d4da489e4c95ead59d9018ccdb21698,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,66358292
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x384a46c8114f8cda3d4c97d7939c09e40e6c6f13,0x25356aeca4210ef7553140edb9b8026089e49396,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,64802870
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3880233e78966eb13a9c2881d5f162d646633178,0xc96de26018a54d51c097160568752c4e3bd6c364,0xcda86a272531e8640cd7f1a92c01839911b90bb0,25,66286073
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x38e2a053e67697e411344b184b3abae4fab42cc2,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,20,72555602
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x39f99db78df6153b9a4aa8361f9fa32e78581261,0x0c1863ecca22a43dd14facedb67f1fcb3881fa59,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,65086102
