protocol,factory,pool,token0,token1,fee_tier,bin_step,creation_block
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x8748e10925850891643f31beff1132e574260cd7,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x87ea83f40fccdb5e4a10fcc66a7a73b3f12bbf35,0x29cc30f9d113b356ce408667aa6433589cecbdca,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0x8a6a1ed01989ff1c5ac6361c34cad9d7d0015ab4,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x8e2c009e45420d2b36bc15315f9de8ceca2cc724,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x8fb12e957edbefd0105857fef675d621c8629a71,0x779ded0c9e1022225f8e0630b35a9b54be713736,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x94d692afff21e045691971a20df4a9adb482ddf6,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x95d39c45668d59141dc5bcc940e6c191f1ebb98c,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x9756d5b60fe70ba41cd4d01fe04779f556c4b75d,0x779ded0c9e1022225f8e0630b35a9b54be713736,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x9a9f322b6f096bbad478c52ab7b27d49e49dfeb5,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x9bb52162d59314a6f3d5ff1bad38ef595ec5814f,0x111111d2bf19e43c34263401e0cad979ed1cdb61,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x9cae9b5d0ee7e78dfd7e42fd995d4974d6907242,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0x9df1e55e6281b2c8c9211ce7fadcfbf49c7afd32,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x9ec313ff05946b6f3860a99b470625abba7eb0a2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
