measuring at chain_id=5000 block=98969898 block_hash=0x77e9802850e09580e8527b3ea75ed93510331e91339b8272af4ed5660ef76374 executor_code_hash=0x50f51b776f893c4c86573ec5d669a1be3e84b3eef9817960376ba59ace2826ef
v2+v3 3000mWMNT v2_boost -> h2:v2+v3:ticks=0 success
v2+v3 10000mWMNT v2_boost -> h2:v2+v3:ticks=1-5 success
v2+v3 30000mWMNT v2_boost -> h2:v2+v3:ticks=1-5 success
v2+v3 100000mWMNT v2_boost -> h2:v2+v3:ticks=21+ success
v2+v3+moe 10mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 30mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 100mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 300mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 1000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=1-3 success
v2+v3+moe 3000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=1-3 success
v2+v3+moe 10mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 30mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 100mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 300mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 1000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 3000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=1-3 success
v2+v3+moe 10000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=4-10 success
v2+v3+moe 10mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 30mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 100mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 300mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 1000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+moe 3000mWMNT v2_boost -> h3:v2+v3+moe:ticks=0:bins=0 success
v2+v3+v3 10mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 30mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 100mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 300mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 1000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 3000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 10000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 30000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 100000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 300000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 1000000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 reverted: server returned an error response: error code 3: execution reverted: FusionX: INSUFFICIENT_LIQUIDITY, data: "0
v2+v3+v3 3000000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 reverted: server returned an error response: error code 3: execution reverted: FusionX: INSUFFICIENT_LIQUIDITY, data: "0
v2+v3+v3 10mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 30mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 100mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 300mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 1000mWMNT v2_boost -> h3:v2+v3+v3:ticks=1-5 success
v2+v3+v3 3000mWMNT v2_boost -> h3:v2+v3+v3:ticks=1-5 success
v2+v3+v3 10000mWMNT v2_boost -> h3:v2+v3+v3:ticks=1-5 success
v2+v3+v3 30000mWMNT v2_boost -> h3:v2+v3+v3:ticks=6-20 success
RPC-FAILURE v2+v3+v3 100000mWMNT v2_boost estimateGas try 1/2: TIMEOUT RPC request timed out after 120000ms
RPC-FAILURE v2+v3+v3 100000mWMNT v2_boost estimateGas try 2/2: TIMEOUT RPC request timed out after 120000ms
v2+v3+v3 10mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 30mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 100mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 300mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 1000mWMNT v2_boost -> h3:v2+v3+v3:ticks=0 success
v2+v3+v3 3000mWMNT v2_boost -> h3:v2+v3+v3:ticks=1-5 success
v2+v3+v3 10000mWMNT v2_boost -> h3:v2+v3+v3:ticks=1-5 success
v2+v3+v3 30000mWMNT v2_boost -> h3:v2+v3+v3:ticks=6-20 success
v2+v3+v3 100000mWMNT v2_boost -> h3:v2+v3+v3:ticks=21+ success
v3+moe 10mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 30mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 100mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 300mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 1000mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 3000mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 10mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
v3+moe 30mWMNT inflate -> h2:v3+moe:ticks=0:bins=0 success
